ccode,VMAR_Region,GPOP,CPOP,GPRO,LANG,CUSTOM,BELIEF,RELIGS1,RACE,GROUPCON,GC119,GC2,GC6B,GC7,GC10,GC11,AUTLOST,YEARWT,MAGN,PRSTAT,SEPX,SEPKIN,EMIG,DISPLACE,POLDIS,ECDIS,CULPO1,CULPO2,GOJPA,AUTON2,AUTGAIN,AUTPRO,LEGISREP,EXECREP,GUARREP,POLGR,ECGR,CULGR,KINSUP,KINMATSUP,KINPOLSUP,KINMILSUP,STASUP,STAMATSUP,STAPOLSUP,STAMILSUP,NSASUP,NSAMATSUP,NSAPOLSUP,NSAMILSUP,INTRACON,FACTSEV1,FACTSEV2,FACTSEV3,INTERCON,CCGROUPSEV1,CCGROUPSEV2,CCGROUPSEV3,PROT,REB,REPGENCIV
700,0,6,7,0.089,2,0,1,6,3,2,1,1,-1,-1,1,1,5,1,3,3,3,0,0,0,1,1,0,0,3,0,-1,0,1,1,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,3,0,0
700,0,6,7,0.089,2,0,1,6,3,2,1,1,-1,-1,1,1,5,1,3,3,3,0,0,0,1,1,0,0,3,0,-1,0,1,1,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0
700,0,6,7,0.089,2,0,1,6,3,2,1,1,-1,-1,1,1,5,1,3,3,3,0,0,0,1,1,0,0,3,0,-1,0,1,1,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,7,7,0.42,1,0,0,5,0,2,2,1,2,2,3,2,1,5,3,3,0,1,0,0,0,0,0,0,4,0,-1,-1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,2,0,0,1,5,3,0,3,5,0
700,0,7,7,0.42,1,0,0,5,0,2,2,1,2,2,3,2,1,5,3,3,0,1,0,0,0,0,0,0,4,0,-1,-1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,2,0,0,1,5,1,0,3,6,1
700,0,7,7,0.42,1,0,0,5,0,2,2,1,2,2,3,2,1,5,3,3,0,1,1,1,0,0,0,0,4,0,-1,-1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,3,6,1
700,0,6,7,0.27,1,1,0,5,1,2,2,1,2,2,2,3,0.4,5,1,2,0,0,0,0,0,0,0,0,3,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,3,0,0
700,0,6,7,0.27,1,1,0,5,1,2,2,1,2,2,2,3,0.4,5,1,2,0,0,0,0,0,0,0,0,3,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,6,7,0.27,1,1,0,5,1,2,2,1,2,2,2,3,0.4,5,1,2,0,0,0,0,0,0,0,0,3,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,0,6,7,0.09,2,1,0,5,2,3,2,1,3,3,3,3,1,5,3,3,0,0,0,0,0,0,0,0,4,0,-1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,3,0
